Question Number,Question,Concepts
1,"If the sizes of charged bodies are very small compared to the distances between them, we treat them as ____________.",Electromagnetism; Point Charge Approximation; Classical Mechanics; Simplification Techniques
2,What is the dielectric constant of a metal?,Electromagnetic Properties; Materials Science; Physical Chemistry; Electrical Conductivity
3,"————— gives the information on field strength, direction, and nature of the charge.",Electric Field Theory; Electromagnetism; Charge Properties
4,The work done in moving a unit positive test charge over a closed path in an electric field is _____________.,Electric Potential; Electromagnetic Theory; Energy Transfer; Closed Loop Systems; Electrostatics
5,What happens when a glass rod is rubbed with silk?,Electrostatics; Frictional Charging; Static Electricity; Tribology
6,What is the formula to find the work done in rotating the dipole in a uniform magnetic field from θ1 to θ2?,Magnetism; Electromagnetic Theory; Rotational Kinematics; Energy Transfer; Torque and Rotation
7,The magnetic dipole moment of a magnetic dipole is given by the formula ________.,Magnetism; Electromagnetic Theory; Physics Formulas; Fundamental Concepts in Electricity and Magnetism
8,A freely suspended magnet aligns in which direction?,Magnetism; Geomagnetism; Electromagnetism; Spatial Orientation
9,The power factor is one for which of the following?,Electrical Engineering; Power Systems Analysis; Energy Efficiency Principles
10,Which of the following statements is true about the LCR circuit connected to an AC source at resonance?,Electrical Circuit Analysis; Resonance Phenomena; AC Circuit Theory; Electronics Fundamentals
11,How can the fringe width increase in Young’s double-slit experiment?,Wave Optics; Interference Patterns; Experimental Design; Physical Principles; Light Properties
12,Which of the following light phenomena confirms the transverse nature of light?,Optics; Electromagnetic Theory; Wave Nature of Light; Physical Properties of Light
13,Polaroid glasses are used in sunglasses because,Optics; Light Polarization; Electromagnetic Radiation; Vision Science; Materials Science
14,Which of the following does the wave theory of light not explain?,Optics; Electromagnetic Theory; Scientific Theories; Physics of Light; Wave-Particle Duality
15,Which of the following is conserved when light waves interfere?,Wave Interference; Conservation Principles; Physical Optics; Energy Conservation
16,What is the geometric shape of the wavefront that originates when a plane wave passes through a convex lens?,Optics; Geometric Optics; Wave Propagation; Lens Systems; Physical Properties of Light
17,"A radioactive nucleus emits a beta particle, then the parent and daughter nuclei are",Nuclear Physics; Radioactive Decay; Particle Emission; Nuclear Reactions; Atomic Structure
18,A nucleus undergoes gamma decay due to,Nuclear Physics; Radioactive Decay Processes; Atomic Stability; Energy Release Mechanisms
19,Isotones have the same number of,Nuclear Physics; Atomic Structure; Isotopic Analysis
20,What is the phase difference between electric and magnetic fields in an electromagnetic wave?,Electromagnetic Theory; Wave Propagation; Phase Analysis; Physics of Fields
21,Which of the following structures is responsible for the transport of water in plants? 1. Phloem 2. Xylem 3. Cambium Which of the above is/are correct?,Plant Anatomy; Transport Mechanisms; Vascular Tissue Function; Botanical Structures; Photosynthesis and Respiration Support Systems; Plant Physiology.
