Question Number,Question,Concepts
1,Consider the following pairs: Historical place Well - known for 1. Burzahom : Rock-cut shrines 2. Chandra - ketugarh : Terracotta art 3. Ganeshwar : Copper artefacts Which of the pairs given above is/are correctly matched?,Archaeological Site Analysis; Cultural Heritage Identification; Historical Place Association; Material Culture Studies
2,"In the context of the history of India, consider the following pairs: Term Description 1. Eripatti : Land revenue which was set apart for the maintenance of the village tank 2. Taniyurs : Villages donated to single Brahmin or a group of Brahmins 3. Ghatikas : Colleges generally attached to the temples Which of the pairs given above is correctly matched?",Historical Terminology; Land Revenue Systems; Administrative History; Social Hierarchy; Educational Institutions; Religious Institutions; Economic Systems; Philanthropy; Ancient Indian Society.
3,"With reference to the scientific progress of Ancient India, Which of the statements given below are correct? 1. Different kinds of specialised surgical instruments were in common use by the 1st century AD 2. Transplant of internal organs in the human body began in the 3rd century AD 3. The concept of sine of an angle was known in the 5th century AD. 4. The concept of cyclic quadrilateral was known in the 7th century AD. Select the correct answer using the codes given below:",History of Science; Chronological Analysis; Medical History; Mathematical Discoveries; Historical Verification
4,"With reference to the Guilds (Shrenis) of ancient India that played a very important role in the country's economy, which of the following statements is/are true? 1. Every Guild was registered with the central authority of the state and the King was the chief administrative authority on them 2. The wages, rules of work, standards and prices were fixed by the Guild 3. The guild had judicial powers over its own members. Select the correct answer using the codes given below:",Economic History; Administrative Systems; Social Organization; Institutional Analysis; Historical Governance
5,Which one of the following ancient towns is well-known for its elaborate system of water harvesting and management by building a series of dams and channelizing water into connected reservoirs?,Ancient Engineering; Water Resource Management; Archaeological Site Analysis; Environmental Adaptation; Historical Infrastructure Development
6,Which one of the following is not a Harappan site?,Archaeological Site Identification; Cultural Heritage Knowledge; Historical Geography; Civilizational Studies; Ancient Settlement Analysis
7,Which of the following characterises/characterises the people of the Indus Civilization? 1. They possessed great palaces and temples. 2. They worshipped both male and female deities. 3. They employed horse-drawn chariots in warfare. Select the correct statement/statements using the codes given below,Archaeological Site Analysis; Material Culture Studies; Religious Belief Systems; Warfare Tactics; Historical Civilization Studies
8,"Regarding the Indus valley civilization, consider the following statements: 1. It was predominantly a secular civilization and the religious element, though present, did not dominate the scene. 2. During this period, cotton was used for manufacturing textiles in India. Which of the statements given above is/are correct?",Civilization Characteristics; Archaeological Textile Analysis; Historical Periodization; Ancient Economy; Cultural Anthropology
9,"With reference to the difference between the culture of Rigvedic Aryans and Indus Valley people, which of the following statements is/are correct? 1. Rigvedic Aryans used the coat of mail and helmet in warfare whereas the people of the Indus Valley Civilization did not leave any evidence of using them. 2. Rigvedic Aryans knew gold, silver and copper whereas Indus Valley people knew only copper and iron. 3. Rigvedic Aryans had domesticated the horse whereas there is no evidence of Indus Valley people having been aware of this animal. Select the correct answer using the code given below:",Cultural Comparison; Archaeological Analysis; Historical Warfare Techniques; Material Culture Studies; Technological Development; Animal Domestication History
10,The Religion of early Vedic Aryans was primarily of:,Ancient Indian History; Vedic Studies; Religious History; Cultural Anthropology
11,"According to Kautilya's Arthashastra, which of the following are correct? 1. A person could be a slave as a result of a judicial punishment. 2. If a female slave bore her master a son, she was legally free. 3. If a son born to a female slave was fathered by her master the son was entitled to the legal status of the master's son. Which of the statements given above are correct?",Ancient Indian Law; Social Hierarchy; Slavery Studies; Administrative History; Legal Systems; Historical Text Analysis
12,"Who among the following rulers advised his subjects through this inscription? 'Whosoever praises his religious sect or blames other sects out of excessive devotion to his own sect, with the view of glorifying his own sect, he rather injures his own sect very severely.'",Historical Figure Identification; Religious Tolerance; Ancient Inscriptions; Historical Quote Analysis; Cultural Heritage; Philosophical Thought; Historical Contextualization.
13,In which of the following relief sculpture inscriptions is 'Ranyo Ashoka' (King Ashoka) mentioned along with the stone portrait of Ashoka?,Historical Figure Identification; Archaeological Analysis; Epigraphic Studies; Art Historical Context; Ancient Indian History
14,Who of the following had first deciphered the edicts of Emperor Ashoka?,Historical Figure Identification; Ancient Indian History; Epigraphy; Archaeological Deciphering; Historical Text Analysis
15,"With reference to Indian history, consider the following texts: 1. Nettipakarana 2. Parishishta Parvan 3. Avadanasataka 4. Trishashtilakshana Mahapurana Which of the above are Jaina texts?",Indian History; Religious Text Analysis; Jainism Studies; Literary Classification; Historical Periodization; Textual Criticism; Religious Tradition Identification
16,"With reference to Indian history, consider the following pairs: Historical person Known as 1. Aryadeva Jaina scholar 2. Dignaga Buddhist scholar 3. Nathamuni Vaishnava scholar How many pairs given above are correctly matched?",Indian Historical Figures; Religious Affiliations; Historical Classification; Biographical Analysis; Philosophical Traditions; Indian Religious History
17,"With reference to the history of Ancient India, which of the following was/were common to both Buddhism and Jainism? 1. Avoidance of extremities of penance and enjoyment 2. Indifference to the authority of Vedas 3. Denial of the efficacy of rituals Select the correct answer using the codes given below:",Comparative Religious Studies; Philosophical Analysis; Historical Contextualization; Indian Intellectual History; Religious Doctrine Comparison; Ancient Indian Cultural Studies
18,The Jain philosophy holds that the world is created and maintained by:,Philosophical Inquiry; Religious Studies; Cosmology; Worldview Analysis; Theological Concepts
19,"From the decline of Guptas until the rise of Harshavardhana in the early seventh century, which of the following kingdoms were holding power in Northern India? 1. The Guptas of Magadha 2. The Paramaras of Malwa 3. The Pushyabhutis of Thanesar 4. The Maukharis of Kanauj 5. The Yadavas of Devagiri 6. The Maitrakas of Valabhi Select the correct answer using the code given below:",Medieval Indian History; Kingdom Dynamics; Chronological Analysis; Regional Power Structures; Historical Geography
20,"With reference to the history of India, the terms \kulyavapa\"" and \""dronavapa\"" denote""",Historical Terminology; Ancient Indian Social Structure; Land Revenue Systems; Administrative History
21,"With reference to the period of the Gupta dynasty in ancient India, the towns Ghantasala, Kadura and Chaul were well known as:",Historical Geography; Ancient Trade Routes; Cultural Significance; Archaeological Site Analysis; Historical Periodization
22,"With reference to forced labour (Vishti) in India during the Gupta period, which one of the following statements is correct?",Historical Labour Systems; Ancient Indian Administrative History; Socio-Economic Structures; Medieval Indian History
23,"The Chinese traveller Yuan Chwang (Hiuen Tsang) who visited India recorded the general conditions and culture of India at that time. In this context, which of the following statements is/are correct? 1. The roads and river routes were completely immune from robbery. 2. As regards punishment for offences, ordeals by fire, water and poison were the instruments for determining the innocence or guilt of a person. 3. The tradesmen had to pay duties at ferries and barrier stations. Select the correct answer using the codes given below.",Historical Travel Accounts; Cultural Anthropology; Administrative History; Judicial Systems; Trade and Commerce; Historical Record Analysis
24,"India maintained its early cultural contacts and trade links with Southeast Asia across the Bay of Bengal. For this pre-eminence of the early maritime history of the Bay of Bengal, which of the following could be the most convincing Solution/Solutions?",Maritime History; Cultural Exchange; Trade Route Analysis; Historical Geography; Imperial History; Regional Connectivity.
25,"With reference to the history of ancient India, Bhavabhuti, Hastimalla and Kshemeshvara were famous:",Historical Figure Analysis; Literary History; Cultural Heritage Studies; Ancient Indian History
26,"With reference to the scholars/literatures of ancient India, consider the following statements: 1. Panini is associated with Pushyamitra Shunga. 2. Amarasimha is associated with Harshavardhana. 3. Kalidasa is associated with Chandra Gupta-II. Which of the statements given above is/are correct?",Historical Figure Association; Literary History; Ancient Indian Chronology; Royal Patronage; Scholarly Attribution
27,"With reference to the cultural history of India, the memorising of chronicles, dynastic histories and epic tales was the profession of which of the following?",Oral Tradition; Cultural Heritage; Historical Narrative; Professional Guilds; Traditional Knowledge Systems; Ancient Indian Society
