Question Number,Question,Concepts
1,"Consider the following statements: Statement-I: If the United States of America (USA) were to default on its debt, holders of US Treasury Bonds will not be able to exercise their claims to receive payment. Statement-II: The USA Government debt is not backed by any hard assets, but only by the faith of the Government. Which one of the following is correct in respect of the above statements?","Government Debt; Treasury Bonds; Sovereign Default Risk; Faith-based Currency"
2,"Consider the following statements: Statement-I: Syndicated lending spreads the risk of borrower default across multiple lenders. Statement-II: The syndicated loan can be a fixed amount/lump sum of funds, but cannot be a credit line. Which one of the following is correct in respect of the above statements?","Syndicated Lending; Risk Distribution; Credit Lines; Banking Operations"
3,"Consider the following statements in respect of the digital rupee: 1. It is a sovereign currency issued by the Reserve Bank of India (RBI) in alignment with its monetary policy. 2. It appears as a liability on the RBI's balance sheet. 3. It is insured against inflation by its very design. 4. It is freely convertible against commercial bank money and cash. Which of the statements given above are correct?","Digital Currency; Central Bank Digital Currency (CBDC); Monetary Policy; RBI Operations; Currency Convertibility"
4,"With reference to the Digital India Land Records Modernisation Programme, consider the following statements: 1. To implement the scheme, the Central Government provides 100% funding. 2. Under the Scheme, Cadastral Maps are digitised. 3. An initiative has been undertaken to transliterate the Records of Rights from local language to any of the languages recognized by the Constitution of India. Which of the statements given above are correct?","Digital India; Land Records Modernization; Cadastral Mapping; Government Schemes; Digital Governance"
5,"Consider the following statements: 1. In India, Non-Banking Financial Companies can access the Liquidity Adjustment Facility window of the Reserve Bank of India. 2. In India, Foreign Institutional Investors can hold the Government Securities (G-Secs). 3. In India, Stock Exchanges can offer Separate trading platforms for debts. Which of the statements given above is/are correct?","Non-Banking Financial Companies (NBFCs); Liquidity Adjustment Facility; Foreign Institutional Investors; Government Securities; Debt Trading Platforms"
6,"In India, which of the following can trade in Corporate Bonds and Government Securities? 1. Insurance Companies 2. Pension Funds 3. Retail Investors Select the correct answer using the code given below:","Corporate Bonds; Government Securities; Institutional Investors; Retail Investment; Bond Market Participants"
7,"Consider the following: 1. Exchange-Traded Funds (ETF) 2. Motor vehicles 3. Currency swap Which of the above is/are considered financial instruments?","Financial Instruments; Exchange-Traded Funds; Currency Swaps; Asset Classification"
8,"With reference to the sectors of the Indian economy, consider the following pairs: 1. Storage of agricultural produce - Secondary 2. Dairy farm - Primary 3. Mineral exploration - Tertiary 4. Weaving cloth - Secondary How many of the pairs given above are correctly matched?","Economic Sectors; Primary Sector; Secondary Sector; Tertiary Sector; Agricultural Economics; Industrial Classification"
9,"With reference to physical capital in Indian economy, consider the following pairs: 1. Farmer's plough - Working capital 2. Computer - Fixed capital 3. Yarn used by the weaver - Fixed capital 4. Petrol - Working capital. How many of the above pairs are correctly matched?","Physical Capital; Fixed Capital; Working Capital; Capital Classification; Economic Resources"
10,"With reference to the rule/rules imposed by the Reserve Bank of India while treating foreign banks, consider the following statements: 1. There is no minimum capital requirement for wholly owned banking subsidiaries in India. 2. For wholly owned banking subsidiaries in India, at least 50% of the board members should be Indian nationals. Which of the statements given above is/are correct?","Foreign Banks; RBI Regulations; Banking Subsidiaries; Capital Requirements; Board Composition; Banking Supervision"
