Question Number,Question,Concepts
1,"If the sizes of charged bodies are very small compared to the distances between them, we treat them as ____________.","Electrostatics; Point Charges; Charge Distribution; Electric Field Theory"
2,"What is the dielectric constant of a metal?","Dielectrics; Material Properties; Electrical Conductivity; Metal Characteristics"
3,"————— gives the information on field strength, direction, and nature of the charge.","Electric Field; Field Strength; Electric Field Properties; Charge Characteristics"
4,"The work done in moving a unit positive test charge over a closed path in an electric field is _____________.","Electric Potential; Work Done; Conservative Fields; Electrostatic Energy"
5,"What happens when a glass rod is rubbed with silk?","Electrostatic Charging; Triboelectric Effect; Charge Transfer; Static Electricity"
6,"What is the formula to find the work done in rotating the dipole in a uniform magnetic field from θ1 to θ2?","Magnetic Dipole; Work Done; Magnetic Field; Dipole Rotation; Magnetic Energy"
7,"The magnetic dipole moment of a magnetic dipole is given by the formula ________.","Magnetic Dipole Moment; Magnetic Properties; Dipole Characteristics"
8,"A freely suspended magnet aligns in which direction?","Magnetism; Earth's Magnetic Field; Magnetic Compass; Magnetic Alignment"
9,"The power factor is one for which of the following?","AC Circuits; Power Factor; Electrical Power; Circuit Elements"
10,"Which of the following statements is true about the LCR circuit connected to an AC source at resonance?","LCR Circuit; AC Resonance; Circuit Analysis; Alternating Current"
11,"How can the fringe width increase in Young's double-slit experiment?","Wave Optics; Young's Double Slit; Interference; Fringe Width; Wave Interference"
12,"Which of the following light phenomena confirms the transverse nature of light?","Wave Nature of Light; Light Polarization; Transverse Waves; Wave Properties"
13,"Polaroid glasses are used in sunglasses because","Light Polarization; Polaroid; Optical Applications; Light Intensity"
14,"Which of the following does the wave theory of light not explain?","Wave Theory of Light; Photoelectric Effect; Wave-Particle Duality; Light Theories"
15,"Which of the following is conserved when light waves interfere?","Wave Interference; Conservation Laws; Energy Conservation; Wave Properties"
16,"What is the geometric shape of the wavefront that originates when a plane wave passes through a convex lens?","Wave Optics; Wavefront; Lens Optics; Wave Propagation"
17,"A radioactive nucleus emits a beta particle, then the parent and daughter nuclei are","Nuclear Physics; Radioactive Decay; Beta Decay; Nuclear Relationships; Isotopes and Isobars"
18,"A nucleus undergoes gamma decay due to","Nuclear Physics; Gamma Decay; Nuclear Excited States; Radioactive Decay"
19,"Isotones have the same number of","Nuclear Physics; Isotones; Nuclear Structure; Atomic Number; Mass Number"
20,"What is the phase difference between electric and magnetic fields in an electromagnetic wave?","Electromagnetic Waves; Phase Relationship; Electric Field; Magnetic Field; Wave Properties"
