Question Number,Question,Concepts
1,"If the sizes of charged bodies are very small compared to the distances between them, we treat them as ____________.",General Knowledge
2,What is the dielectric constant of a metal?,Electrostatics
3,"————— gives the information on field strength, direction, and nature of the charge.",General Knowledge
4,The work done in moving a unit positive test charge over a closed path in an electric field is _____________.,Electrostatics
5,What happens when a glass rod is rubbed with silk?,General Knowledge
6,What is the formula to find the work done in rotating the dipole in a uniform magnetic field from θ1 to θ2?,Electromagnetism; Electricity & Magnetism
7,The magnetic dipole moment of a magnetic dipole is given by the formula ________.,Mathematical Concepts
8,A freely suspended magnet aligns in which direction?,General Knowledge
9,The power factor is one for which of the following?,AC Circuits
10,Which of the following statements is true about the LCR circuit connected to an AC source at resonance?,Waves & Sound; AC Circuits
11,How can the fringe width increase in Young’s double-slit experiment?,General Knowledge
12,Which of the following light phenomena confirms the transverse nature of light?,Optics
13,Polaroid glasses are used in sunglasses because,General Knowledge
14,Which of the following does the wave theory of light not explain?,Optics
15,Which of the following is conserved when light waves interfere?,Optics
16,What is the geometric shape of the wavefront that originates when a plane wave passes through a convex lens?,Optics
17,"A radioactive nucleus emits a beta particle, then the parent and daughter nuclei are",Physics Principles
18,A nucleus undergoes gamma decay due to,Nuclear Physics
19,Isotones have the same number of,General Knowledge
20,What is the phase difference between electric and magnetic fields in an electromagnetic wave?,Electromagnetism; Electricity & Magnetism; Electromagnetic Waves
